,TechID,ModeID,VehTypeID,MassCatID,FuelID,EngineID,TransTypeID,Availability,Final_Year,HybridFlag,spec_energ_consump,spec_energ_electric,noise_class,PurchasePrice,ExpectedLifeFactor,Capacity,AveEconLife,SecondHandImportFlag,note
68,251.0,1.0,3.0,2.0,2.0,15.0,1.0,2015.0,,0,6.8,,1.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
69,9251.0,1.0,3.0,2.0,2.0,15.0,1.0,2023.0,,0,6.8,,1.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
70,310.0,1.0,3.0,3.0,2.0,1.0,1.0,,,0,9.0,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
71,9310.0,1.0,3.0,3.0,2.0,1.0,1.0,,,0,9.0,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
72,330.0,1.0,3.0,3.0,2.0,3.0,1.0,1992.0,,0,9.0,,0.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
73,9330.0,1.0,3.0,3.0,2.0,3.0,1.0,2000.0,,0,9.0,,0.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
74,340.0,1.0,3.0,3.0,2.0,4.0,1.0,1997.0,,0,9.0,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
75,9340.0,1.0,3.0,3.0,2.0,4.0,1.0,2005.0,,0,9.0,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
76,350.0,1.0,3.0,3.0,2.0,5.0,1.0,2001.0,,0,9.0,,0.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
77,9350.0,1.0,3.0,3.0,2.0,5.0,1.0,2009.0,,0,9.0,,0.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
78,360.0,1.0,3.0,3.0,2.0,6.0,1.0,2006.0,,0,9.0,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
79,9360.0,1.0,3.0,3.0,2.0,6.0,1.0,2014.0,,0,9.0,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
80,363.0,1.0,3.0,3.0,2.0,14.0,1.0,2011.0,,0,9.0,,1.0,,1,,14.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
81,9363.0,1.0,3.0,3.0,2.0,14.0,1.0,2019.0,,0,9.0,,1.0,,1,,14.0,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
82,366.0,1.0,3.0,3.0,2.0,15.0,1.0,2015.0,,0,9.0,,1.0,,1,,14.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
83,9366.0,1.0,3.0,3.0,2.0,15.0,1.0,2023.0,,0,9.0,,1.0,,1,,14.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
84,550.0,1.0,3.0,1.0,5.0,1.0,1.0,,,0,11.3,,1.0,,1,,,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
85,9550.0,1.0,3.0,1.0,5.0,1.0,1.0,,,0,11.3,,1.0,,1,,,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
86,551.0,1.0,3.0,1.0,5.0,3.0,1.0,1992.0,,0,10.9,,1.0,,1,,,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
87,9551.0,1.0,3.0,1.0,5.0,3.0,1.0,2000.0,,0,10.9,,1.0,,1,,,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
88,552.0,1.0,3.0,1.0,5.0,4.0,1.0,1997.0,,0,10.9,,1.0,,1,,,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
89,9552.0,1.0,3.0,1.0,5.0,4.0,1.0,2005.0,,0,10.9,,1.0,,1,,,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
90,553.0,1.0,3.0,1.0,5.0,5.0,1.0,2001.0,,0,10.9,,1.0,,1,,,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
91,9553.0,1.0,3.0,1.0,5.0,5.0,1.0,2009.0,,0,10.9,,1.0,,1,,,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
92,554.0,1.0,3.0,1.0,5.0,6.0,1.0,2006.0,,0,10.9,,1.0,,1,,,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
93,9554.0,1.0,3.0,1.0,5.0,6.0,1.0,2014.0,,0,10.9,,1.0,,1,,,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
94,555.0,1.0,3.0,1.0,5.0,14.0,1.0,2011.0,,0,10.9,,1.0,,1,,,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
95,9555.0,1.0,3.0,1.0,5.0,14.0,1.0,2019.0,,0,10.9,,1.0,,1,,,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
96,556.0,1.0,3.0,1.0,5.0,15.0,1.0,2015.0,,0,10.9,,1.0,,1,,,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
97,9556.0,1.0,3.0,1.0,5.0,15.0,1.0,2023.0,,0,10.9,,1.0,,1,,,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
98,520.0,1.0,3.0,1.0,10.0,6.0,1.0,2006.0,,0,6.3,,1.0,,1,,,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
99,9520.0,1.0,3.0,1.0,10.0,6.0,1.0,2014.0,,0,6.3,,1.0,,1,,,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
100,521.0,1.0,3.0,1.0,10.0,14.0,1.0,2011.0,,0,6.3,,1.0,,1,,,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
101,9521.0,1.0,3.0,1.0,10.0,14.0,1.0,2019.0,,0,6.3,,1.0,,1,,,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
102,522.0,1.0,3.0,1.0,10.0,15.0,1.0,2015.0,,0,6.3,,1.0,,1,,,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
103,9522.0,1.0,3.0,1.0,10.0,15.0,1.0,2023.0,,0,6.3,,1.0,,1,,,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, Availability, EngineAB, SecondHandImportFlag"
104,620.0,1.0,3.0,1.0,1.0,6.0,1.0,2006.0,,1,,,1.0,,1,,,0,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
105,9620.0,1.0,3.0,1.0,1.0,6.0,1.0,2014.0,,1,,,1.0,,1,,,1,"7 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
106,302.0,1.0,3.0,2.0,1.0,6.0,1.0,2006.0,,1,,,2.0,,1,,,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
107,9302.0,1.0,3.0,2.0,1.0,6.0,1.0,2014.0,,1,,,2.0,,1,,,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
108,362.0,1.0,3.0,3.0,1.0,6.0,1.0,2006.0,,1,,,2.0,,1,,,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
109,9362.0,1.0,3.0,3.0,1.0,6.0,1.0,2014.0,,1,,,2.0,,1,,,1,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, SecondHandImportFlag"
110,640.0,1.0,4.0,11.0,1.0,1.0,2.0,,,0,7.2,,0.0,,1,,10.0,0,"6 fields matched, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
111,9640.0,1.0,4.0,11.0,1.0,1.0,2.0,,,0,7.2,,0.0,,1,,10.0,1,"6 fields matched, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, SecondHandImportFlag"
112,1450.0,1.0,5.0,21.0,1.0,3.0,2.0,1992.0,,0,7.2,,0.0,,1,,10.0,0,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, AveEconLife, SecondHandImportFlag"
113,10450.0,1.0,5.0,21.0,1.0,3.0,2.0,2000.0,,0,7.2,,0.0,,1,,10.0,1,"9 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, EngineAB, AveEconLife, SecondHandImportFlag"
114,1410.0,1.0,5.0,21.0,1.0,3.0,2.0,1992.0,,0,9.0,,0.0,,1,,10.0,0,"8 fields matched, TransTypeAB, VehTypeNA, MassCatNA, HybridFlag, FuelAB, ModeNA, AveEconLife, SecondHandImportFlag"
