,ScenarioID,CountryID,TechID,JSTypeVSMID,TechDescription,TransTypeID,VehTypeID,MassCatID,VKM
83,1,9,9171.0,3,Road-Medium (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,2.0,0.05498509264285715
84,1,9,190.0,1,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428574
85,1,9,190.0,2,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
86,1,9,190.0,3,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
87,1,9,9190.0,1,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.012350407957142857
88,1,9,9190.0,2,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
89,1,9,9190.0,3,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
90,1,9,210.0,1,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428574
91,1,9,210.0,2,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
92,1,9,210.0,3,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
93,1,9,9210.0,1,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.012350407957142857
94,1,9,9210.0,2,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
95,1,9,9210.0,3,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
96,1,9,220.0,1,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428574
97,1,9,220.0,2,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
98,1,9,220.0,3,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
99,1,9,9220.0,1,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.012350407957142857
100,1,9,9220.0,2,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
