,Vehicle category,Segment,CountryID,TechID,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
253,Passenger cars,"PC petrol <1,4L",9,9110.0,22,1.0,3.0,1.0,5.0,1.0,479.9488571428571
254,Passenger cars,"PC petrol <1,4L",9,9110.0,23,1.0,3.0,1.0,5.0,1.0,479.9488571428571
255,Passenger cars,"PC petrol <1,4L",9,9110.0,24,1.0,3.0,1.0,5.0,1.0,479.9488571428571
256,Passenger cars,"PC petrol <1,4L",9,9110.0,25,1.0,3.0,1.0,5.0,1.0,479.9488571428571
269,Passenger cars,"PC petrol <1,4L",9,120.0,5,1.0,3.0,1.0,6.0,1.0,84.69685714285714
270,Passenger cars,"PC petrol <1,4L",9,120.0,6,1.0,3.0,1.0,6.0,1.0,169.39371428571428
271,Passenger cars,"PC petrol <1,4L",9,120.0,7,1.0,3.0,1.0,6.0,1.0,592.8779999999999
272,Passenger cars,"PC petrol <1,4L",9,120.0,8,1.0,3.0,1.0,6.0,1.0,677.5748571428571
273,Passenger cars,"PC petrol <1,4L",9,120.0,9,1.0,3.0,1.0,6.0,1.0,931.6654285714285
274,Passenger cars,"PC petrol <1,4L",9,120.0,10,1.0,3.0,1.0,6.0,1.0,846.9685714285713
275,Passenger cars,"PC petrol <1,4L",9,120.0,11,1.0,3.0,1.0,6.0,1.0,762.2717142857142
276,Passenger cars,"PC petrol <1,4L",9,120.0,12,1.0,3.0,1.0,6.0,1.0,677.5748571428571
277,Passenger cars,"PC petrol <1,4L",9,120.0,13,1.0,3.0,1.0,6.0,1.0,592.8779999999999
278,Passenger cars,"PC petrol <1,4L",9,120.0,14,1.0,3.0,1.0,6.0,1.0,592.8779999999999
279,Passenger cars,"PC petrol <1,4L",9,120.0,15,1.0,3.0,1.0,6.0,1.0,423.48428571428565
280,Passenger cars,"PC petrol <1,4L",9,120.0,16,1.0,3.0,1.0,6.0,1.0,423.48428571428565
281,Passenger cars,"PC petrol <1,4L",9,120.0,17,1.0,3.0,1.0,6.0,1.0,508.18114285714285
282,Passenger cars,"PC petrol <1,4L",9,120.0,18,1.0,3.0,1.0,6.0,1.0,254.09057142857142
283,Passenger cars,"PC petrol <1,4L",9,120.0,19,1.0,3.0,1.0,6.0,1.0,254.09057142857142
284,Passenger cars,"PC petrol <1,4L",9,120.0,20,1.0,3.0,1.0,6.0,1.0,169.39371428571428
285,Passenger cars,"PC petrol <1,4L",9,120.0,21,1.0,3.0,1.0,6.0,1.0,169.39371428571428
286,Passenger cars,"PC petrol <1,4L",9,120.0,22,1.0,3.0,1.0,6.0,1.0,84.69685714285714
287,Passenger cars,"PC petrol <1,4L",9,120.0,23,1.0,3.0,1.0,6.0,1.0,84.69685714285714
288,Passenger cars,"PC petrol <1,4L",9,120.0,24,1.0,3.0,1.0,6.0,1.0,84.69685714285714
