ScenarioID,CountryID,TechID,JSTypeVSMID,TechDescription,TransTypeID,VehTypeID,MassCatID,VKM
1,9,250.0,1,Road-Medium (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,2.0,0.0016632647571428
1,9,250.0,2,Road-Medium (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,250.0,3,Road-Medium (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,251.0,1,Road-Medium (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,2.0,0.0016632647571428
1,9,251.0,2,Road-Medium (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,251.0,3,Road-Medium (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,260.0,1,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.0016632647571428
1,9,260.0,2,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,260.0,3,Road-Medium (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,265.0,1,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0023643715714285
1,9,265.0,2,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,265.0,3,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,266.0,1,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0023643715714285
1,9,266.0,2,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,266.0,3,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,267.0,1,Road-Small (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,1.0,0.0023643715714285
1,9,267.0,2,Road-Small (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,267.0,3,Road-Small (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,268.0,1,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0023643715714285
1,9,268.0,2,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,268.0,3,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,269.0,1,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0023643715714285
1,9,269.0,2,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,269.0,3,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,270.0,1,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.0016632647571428
1,9,270.0,2,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,270.0,3,Road-Medium (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,280.0,1,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.0016632647571428
1,9,280.0,2,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,280.0,3,Road-Medium (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,290.0,1,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.0016632647571428
1,9,290.0,2,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,290.0,3,Road-Medium (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,295.0,1,Road-Small (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,1.0,0.0023643715714285
1,9,295.0,2,Road-Small (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,295.0,3,Road-Small (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,300.0,1,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.0016632647571428
1,9,300.0,2,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,300.0,3,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.0008316323785714
1,9,302.0,1,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.0
1,9,302.0,2,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.0
1,9,302.0,3,Road-Medium (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,2.0,0.0
1,9,305.0,1,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0023643715714285
1,9,305.0,2,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,305.0,3,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0011821857857142
1,9,310.0,1,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0036549554142857
1,9,310.0,2,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,310.0,3,Road-Large (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,330.0,1,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0036549554142857
1,9,330.0,2,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,330.0,3,Road-Large (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,340.0,1,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0036549554142857
1,9,340.0,2,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,340.0,3,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,350.0,1,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0036549554142857
1,9,350.0,2,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,350.0,3,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,360.0,1,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0036549554142857
1,9,360.0,2,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,360.0,3,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,362.0,1,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0
1,9,362.0,2,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0
1,9,362.0,3,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0
1,9,363.0,1,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0036549554142857
1,9,363.0,2,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,363.0,3,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,366.0,1,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0036549554142857
1,9,366.0,2,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,366.0,3,Road-Large (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,3.0,0.0018274777071428
1,9,520.0,1,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,520.0,2,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,520.0,3,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,521.0,1,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,521.0,2,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,521.0,3,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,522.0,1,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,522.0,2,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,522.0,3,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,550.0,1,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,550.0,2,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,550.0,3,Road-Small (car)-Conventional (pre-EURO)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,551.0,1,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,551.0,2,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,551.0,3,Road-Small (car)-Euro 1 (1992-96)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,552.0,1,Road-Small (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,552.0,2,Road-Small (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,552.0,3,Road-Small (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,553.0,1,Road-Small (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,553.0,2,Road-Small (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,553.0,3,Road-Small (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,554.0,1,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,554.0,2,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,554.0,3,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,555.0,1,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,555.0,2,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,555.0,3,Road-Small (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,556.0,1,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,556.0,2,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,556.0,3,Road-Small (car)-Euro 6 (2015-19)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,620.0,1,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,620.0,2,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,620.0,3,Road-Small (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,1.0,0.0
1,9,630.0,1,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,1.0,4.0,11.0,0.0189917142857142
1,9,630.0,1,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,2.0,4.0,11.0,0.02441669826
1,9,630.0,2,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,1.0,4.0,11.0,0.0189917142857142
1,9,630.0,2,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,2.0,4.0,11.0,0.02441669826
1,9,630.0,3,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,1.0,4.0,11.0,0.0094958571428571
1,9,630.0,3,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,2.0,4.0,11.0,0.01220834913
1,9,640.0,1,Road-Mini (bus)-Conventional (pre-EURO)-Freight Transport,2.0,4.0,11.0,0.0051047568
1,9,640.0,2,Road-Mini (bus)-Conventional (pre-EURO)-Freight Transport,2.0,4.0,11.0,0.0051047568
1,9,640.0,3,Road-Mini (bus)-Conventional (pre-EURO)-Freight Transport,2.0,4.0,11.0,0.0025523784
1,9,690.0,1,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,2.0,4.0,11.0,0.0220991185799999
1,9,690.0,2,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,2.0,4.0,11.0,0.0220991185799999
1,9,690.0,3,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,2.0,4.0,11.0,0.0110495592899999
1,9,695.0,1,Road-Mini (bus)-Euro 4 (2005-09)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,695.0,2,Road-Mini (bus)-Euro 4 (2005-09)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,695.0,3,Road-Mini (bus)-Euro 4 (2005-09)-Freight Transport,2.0,4.0,11.0,0.000382846375
1,9,697.0,1,Road-Mini (bus)-Conventional (pre-EURO)-Freight Transport,2.0,4.0,11.0,0.0055247796449999
1,9,697.0,2,Road-Mini (bus)-Conventional (pre-EURO)-Freight Transport,2.0,4.0,11.0,0.0055247796449999
1,9,697.0,3,Road-Mini (bus)-Conventional (pre-EURO)-Freight Transport,2.0,4.0,11.0,0.0441982371599999
1,9,698.0,1,Road-Mini (bus)-Conventional (pre-EURO)-Passenger Transport,1.0,4.0,11.0,0.0189917142857142
1,9,698.0,2,Road-Mini (bus)-Conventional (pre-EURO)-Passenger Transport,1.0,4.0,11.0,0.0189917142857142
1,9,698.0,3,Road-Mini (bus)-Conventional (pre-EURO)-Passenger Transport,1.0,4.0,11.0,0.0094958571428571
1,9,699.0,1,Road-Mini (bus)-Euro 1 (1992-96)-Passenger Transport,1.0,4.0,11.0,0.0189917142857142
1,9,699.0,2,Road-Mini (bus)-Euro 1 (1992-96)-Passenger Transport,1.0,4.0,11.0,0.0189917142857142
1,9,699.0,3,Road-Mini (bus)-Euro 1 (1992-96)-Passenger Transport,1.0,4.0,11.0,0.0094958571428571
1,9,700.0,1,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,700.0,2,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,700.0,3,Road-Mini (bus)-Euro 1 (1992-96)-Freight Transport,2.0,4.0,11.0,0.000382846375
1,9,701.0,1,Road-Mini (bus)-Euro 2 (1996-2001)-Passenger Transport,1.0,4.0,11.0,0.0189917142857142
1,9,701.0,2,Road-Mini (bus)-Euro 2 (1996-2001)-Passenger Transport,1.0,4.0,11.0,0.0189917142857142
1,9,701.0,3,Road-Mini (bus)-Euro 2 (1996-2001)-Passenger Transport,1.0,4.0,11.0,0.0094958571428571
1,9,702.0,1,Road-Mini (bus)-Euro 3 (2001-05)-Passenger Transport,1.0,4.0,11.0,0.0189917142857142
1,9,702.0,2,Road-Mini (bus)-Euro 3 (2001-05)-Passenger Transport,1.0,4.0,11.0,0.0189917142857142
1,9,702.0,3,Road-Mini (bus)-Euro 3 (2001-05)-Passenger Transport,1.0,4.0,11.0,0.0094958571428571
1,9,720.0,1,Road-Mini (bus)-Euro 2 (1996-2001)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,720.0,2,Road-Mini (bus)-Euro 2 (1996-2001)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,720.0,3,Road-Mini (bus)-Euro 2 (1996-2001)-Freight Transport,2.0,4.0,11.0,0.000382846375
