Year,Scenario,Tech.VehType,Tech.Fuel,Value
2015,"Kujinao (""Know yourself"")",Car,Diesel,1.3488759708911688
2015,"Kujinao (""Know yourself"")",Bus,Diesel,5.21916709230812
2015,"Kujinao (""Know yourself"")",Bus,Gasoline,0.01163945875083841
2015,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,0.00003993218904191798
2015,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,0.06011477514648432
2015,"Kujinao (""Know yourself"")",Bus,Liquified Petroleum Gas,0.06922417198510511
2015,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",0.0038179862134456667
2015,"Kujinao (""Know yourself"")",Truck,Diesel,3.2842708121561044
2015,"Kujinao (""Know yourself"")",Truck,Gasoline,1.052514868975091
2015,"Kujinao (""Know yourself"")",Truck,Compressed Natural Gas,0.03394794110107427
2015,"Kujinao (""Know yourself"")",Truck,Liquified Petroleum Gas,0.000689266080813848
2015,"Kujinao (""Know yourself"")",Train,Diesel,0.1388609551975826
2015,"Kujinao (""Know yourself"")",Ship,Diesel,1.9918334340313326
2015,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),0.6632262126563233
2030,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,1.1832374989416503
2030,"Kujinao (""Know yourself"")",Car,Gasoline,3.0354086367100725
2030,"Kujinao (""Know yourself"")",Car,Diesel,1.5193424425633426
2030,"Kujinao (""Know yourself"")",Bus,Diesel,4.198771350298752
2030,"Kujinao (""Know yourself"")",Bus,Gasoline,0.044285699389874984
2030,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",0.0029961741634358897
2030,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,0.0005773903488467454
2030,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,0.006534041366577146
2030,"Kujinao (""Know yourself"")",Bus,Liquified Petroleum Gas,0.007399810603185415
2030,"Kujinao (""Know yourself"")",Truck,Diesel,5.187100502134756
2030,"Kujinao (""Know yourself"")",Truck,Gasoline,0.8681803679475516
2030,"Kujinao (""Know yourself"")",Truck,Compressed Natural Gas,0.0002346968429088596
2030,"Kujinao (""Know yourself"")",Truck,Liquified Petroleum Gas,0.000004765195323345181
2030,"Kujinao (""Know yourself"")",Train,Diesel,0.21730939275957692
2030,"Kujinao (""Know yourself"")",Ship,Diesel,2.071188622810291
2030,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),0.756769440237514
2040,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,0.14689354912877994
2040,"Kujinao (""Know yourself"")",Car,Gasoline,2.4402631605095757
2040,"Kujinao (""Know yourself"")",Car,Diesel,1.4081396730720643
2040,"Kujinao (""Know yourself"")",Bus,Gasoline,0.014439941178852576
2040,"Kujinao (""Know yourself"")",Bus,Diesel,2.22139967323509
2040,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,0.00030901038183354164
2040,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,3.123222936119423e-8
2040,"Kujinao (""Know yourself"")",Bus,Liquified Petroleum Gas,1.0078188074819887e-8
2040,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",0.0016619313981980088
2040,"Kujinao (""Know yourself"")",Truck,Diesel,6.411233753872149
2040,"Kujinao (""Know yourself"")",Truck,Gasoline,0.6227831429340421
2040,"Kujinao (""Know yourself"")",Train,Diesel,0.4498137490528395
2040,"Kujinao (""Know yourself"")",Ship,Diesel,2.1356433200006038
2040,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),0.7900356691376759
2050,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,0.04371914879272468
2050,"Kujinao (""Know yourself"")",Car,Gasoline,1.4695166558872825
2050,"Kujinao (""Know yourself"")",Car,Diesel,0.9670583180456189
2050,"Kujinao (""Know yourself"")",Bus,Gasoline,0.0016301526205786498
2050,"Kujinao (""Know yourself"")",Bus,Diesel,1.8499094068993958
2050,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,0.00004022849048761816
2050,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",0.0009765144647061822
2050,"Kujinao (""Know yourself"")",Truck,Diesel,7.145352494641698
2050,"Kujinao (""Know yourself"")",Truck,Gasoline,0.5430190352744406
2050,"Kujinao (""Know yourself"")",Train,Diesel,0.7550060275306242
2050,"Kujinao (""Know yourself"")",Ship,Diesel,2.1708543667388547
2050,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),0.717677535011394
2015,Streetfighting,Motorcycle,Gasoline,3.3431938126953122
2015,Streetfighting,Car,Gasoline,2.4463051366989035
2015,Streetfighting,Car,Diesel,1.3186195207166278
2015,Streetfighting,Bus,Diesel,5.349241818398503
2015,Streetfighting,Bus,Gasoline,0.03882448496246338
2015,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,0.000029923143796709733
2015,Streetfighting,Bus,Compressed Natural Gas,0.03469344031524657
2015,Streetfighting,Bus,Liquified Petroleum Gas,0.03893991320903322
2015,Streetfighting,Bus,"Biodiesel (FT, synthetic)",0.0038319804756492414
2015,Streetfighting,Truck,Diesel,4.416444230727459
2015,Streetfighting,Truck,Gasoline,0.8636330797127421
2015,Streetfighting,Truck,Compressed Natural Gas,0.008729215442657463
2015,Streetfighting,Train,Diesel,0.12748251207166056
2015,Streetfighting,Ship,Diesel,1.9913707642328466
2015,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),0.6440776519659125
2030,Streetfighting,Motorcycle,Gasoline,2.1228022455541997
2030,Streetfighting,Car,Gasoline,2.653679473013097
2030,Streetfighting,Car,Diesel,1.680127107439342
2030,Streetfighting,Bus,Diesel,4.758513104856225
2030,Streetfighting,Bus,Gasoline,0.046654698524564525
2030,Streetfighting,Bus,"Biodiesel (FT, synthetic)",0.0034081896832415443
2030,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,0.000618676509551184
2030,Streetfighting,Bus,Compressed Natural Gas,0.0034442961769104
2030,Streetfighting,Bus,Liquified Petroleum Gas,0.0037384246736783177
2030,Streetfighting,Truck,Diesel,6.048733003215574
2030,Streetfighting,Truck,Gasoline,1.9008962685339037
2030,Streetfighting,Truck,Compressed Natural Gas,0.00003501363407820463
2030,Streetfighting,Train,Diesel,0.17894974401786037
2030,Streetfighting,Ship,Diesel,2.0523031698705654
