Year,Scenario,Tech.VehType,Tech.Fuel,Value
2015,"Kujinao (""Know yourself"")",Car,Electricity,10376691.264132341
2015,"Kujinao (""Know yourself"")",Bus,Diesel,5074896505.79317
2015,"Kujinao (""Know yourself"")",Bus,Gasoline,29843038.458523136
2015,"Kujinao (""Know yourself"")",Bus,Electricity,14933044.39645726
2015,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",3022976.792102086
2015,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,87470.42308243636
2015,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,70411370.65971273
2015,"Kujinao (""Know yourself"")",Bus,Liquified Petroleum Gas,69899857.15862383
2015,"Kujinao (""Know yourself"")",Truck,Diesel,6277049451.762115
2015,"Kujinao (""Know yourself"")",Truck,Electricity,83532.58652785137
2015,"Kujinao (""Know yourself"")",Truck,Gasoline,3492756062.171793
2015,"Kujinao (""Know yourself"")",Truck,Compressed Natural Gas,61611573.211848795
2015,"Kujinao (""Know yourself"")",Truck,Liquified Petroleum Gas,1072488.3468355981
2015,"Kujinao (""Know yourself"")",Train,Electricity,7152435.094212699
2015,"Kujinao (""Know yourself"")",Train,Diesel,15761653.256049616
2015,"Kujinao (""Know yourself"")",Ship,Diesel,1686355.128185824
2015,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),45745865.64467605
2030,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,7403586509.171877
2030,"Kujinao (""Know yourself"")",Motorcycle,Electricity,23045954347.09339
2030,"Kujinao (""Know yourself"")",Motorcycle,Gaseous Hydrogen,12.241124336398453
2030,"Kujinao (""Know yourself"")",Car,Gasoline,18636889036.661865
2030,"Kujinao (""Know yourself"")",Car,Diesel,13033093920.641874
2030,"Kujinao (""Know yourself"")",Car,Electricity,348520810.19878733
2030,"Kujinao (""Know yourself"")",Bus,Diesel,4528968504.36577
2030,"Kujinao (""Know yourself"")",Bus,Gasoline,117204573.0736499
2030,"Kujinao (""Know yourself"")",Bus,Electricity,2065100735.7096212
