Year,Scenario,Tech.VehType,Tech.Fuel,Value
2040,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,13.51550925723462
2040,Electric Dreams,Bus,Compressed Natural Gas,0.0007849485674742539
2040,Electric Dreams,Bus,Liquified Petroleum Gas,0.000132348036590025
2040,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",20.27131406905881
2040,Electric Dreams,Truck,Diesel,83451.84599260296
2040,Electric Dreams,Truck,Electricity,69482.35989222642
2040,Electric Dreams,Truck,Gasoline,6460.829676383117
2040,Electric Dreams,Train,Electricity,6485.999367479936
2040,Electric Dreams,Train,Diesel,110.09000166759314
2040,Electric Dreams,Ship,Diesel,50.0999987413827
2040,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),200.3680440854836
2040,Electric Dreams,Aeroplane,Electricity,127.04186085262377
2040,Electric Dreams,Aeroplane,Liquefied Hydrogen,0.00449090386200623
2050,Electric Dreams,Motorcycle,Electricity,5754860.278682608
2050,Electric Dreams,Motorcycle,Gasoline,775.498233462989
2050,Electric Dreams,Car,Gasoline,201866.65309097475
2050,Electric Dreams,Car,Diesel,139068.09485410908
2050,Electric Dreams,Car,Electricity,1174803.0488273334
2050,Electric Dreams,Bus,Gasoline,61.977566829270124
2050,Electric Dreams,Bus,Diesel,15948.51804925523
2050,Electric Dreams,Bus,Electricity,157003.45201281807
2050,Electric Dreams,Bus,"Biodiesel (FT, synthetic)",6.200860555665756
2050,Electric Dreams,Truck,Diesel,58279.65310712464
2050,Electric Dreams,Truck,Electricity,164020.23287493977
2050,Electric Dreams,Truck,Gasoline,602.4277402484171
2050,Electric Dreams,Train,Electricity,7053.845616903107
2050,Electric Dreams,Train,Diesel,13.679178291653447
2050,Electric Dreams,Ship,Diesel,50.0999976936107
2050,Electric Dreams,Aeroplane,Aviation fuel (Jet A-1),131.65739179164993
2050,Electric Dreams,Aeroplane,Electricity,365.17159395676526
2050,Electric Dreams,Aeroplane,Liquefied Hydrogen,0.019100723451344948
2050,Electric Dreams,Bus,Bioethanol(85)-petrol(15) blend,1.2003301535875177
2015,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,576155.6865234376
2015,"Kujinao (""Know yourself"")",Motorcycle,Electricity,60908.2609863282
2015,"Kujinao (""Know yourself"")",Car,Gasoline,332145.8768994294
2015,"Kujinao (""Know yourself"")",Car,Diesel,210934.57672630696
2015,"Kujinao (""Know yourself"")",Car,Electricity,436.5728950716166
2015,"Kujinao (""Know yourself"")",Bus,Diesel,108606.58596702057
2015,"Kujinao (""Know yourself"")",Bus,Gasoline,3084.3900097385067
2015,"Kujinao (""Know yourself"")",Bus,Electricity,277.91514253616316
2015,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,9.005727930940342
2015,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,1737.606657981873
2015,"Kujinao (""Know yourself"")",Bus,Liquified Petroleum Gas,1728.102489471436
2015,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",60.25406748801468
2015,"Kujinao (""Know yourself"")",Truck,Diesel,132074.44901149414
2015,"Kujinao (""Know yourself"")",Truck,Electricity,1.22882769718126
2015,"Kujinao (""Know yourself"")",Truck,Gasoline,262933.51276457857
2015,"Kujinao (""Know yourself"")",Truck,Compressed Natural Gas,662.322346327698
2015,"Kujinao (""Know yourself"")",Truck,Liquified Petroleum Gas,11.5292133573333
2015,"Kujinao (""Know yourself"")",Train,Electricity,975.5470211963263
2015,"Kujinao (""Know yourself"")",Train,Diesel,397.62395209758705
2015,"Kujinao (""Know yourself"")",Ship,Diesel,69.78737771723961
2015,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),143.25158833441492
2030,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,467146.2207909821
2030,"Kujinao (""Know yourself"")",Motorcycle,Electricity,1454137.1621667196
2030,"Kujinao (""Know yourself"")",Motorcycle,Gaseous Hydrogen,0.00077238176049832
2030,"Kujinao (""Know yourself"")",Car,Gasoline,488179.48282550595
2030,"Kujinao (""Know yourself"")",Car,Diesel,324178.6344325587
